answer,high_interaction,very_high_interaction,code_present,ext_ref_present,img_present,count
f,f,f,f,f,f,19256
f,f,f,f,f,t,571
f,f,f,f,t,f,5140
f,f,f,f,t,t,7903
f,f,f,t,f,f,13014
f,f,f,t,f,t,251
f,f,f,t,t,f,5286
f,f,f,t,t,t,4661
f,t,f,f,f,f,1039
f,t,f,f,f,t,52
f,t,f,f,t,f,295
f,t,f,f,t,t,927
f,t,f,t,f,f,1250
f,t,f,t,f,t,42
f,t,f,t,t,f,579
f,t,f,t,t,t,747
f,t,t,f,f,f,114
f,t,t,f,f,t,8
f,t,t,f,t,f,36
f,t,t,f,t,t,127
f,t,t,t,f,f,154
f,t,t,t,f,t,6
f,t,t,t,t,f,71
f,t,t,t,t,t,109
t,f,f,f,f,f,29883
t,f,f,f,f,t,1931
t,f,f,f,t,f,35680
t,f,f,f,t,t,8026
t,f,f,t,f,f,30081
t,f,f,t,f,t,1047
t,f,f,t,t,f,21313
t,f,f,t,t,t,7342
t,t,f,f,f,f,1058
t,t,f,f,f,t,167
t,t,f,f,t,f,1270
t,t,f,f,t,t,528
t,t,f,t,f,f,2120
t,t,f,t,f,t,154
t,t,f,t,t,f,1836
t,t,f,t,t,t,917
t,t,t,f,f,f,45
t,t,t,f,f,t,9
t,t,t,f,t,f,80
t,t,t,f,t,t,20
t,t,t,t,f,f,96
t,t,t,t,f,t,10
t,t,t,t,t,f,89
t,t,t,t,t,t,54
