chain_oid,user_id,start_date,creationdate,years_since_registration,question_count,answer_count,comment_count,edits_count
13927653,664,2010-10-27 11:25:50,2010-08-19 19:53:32,0.185335426179604,2,30,60,38
13928087,59,2010-11-29 20:15:14,2010-07-22 19:29:46,0.348031709791984,25,90,135,266
13928087,108,2010-11-29 20:15:14,2010-07-22 21:17:19,0.347827086504313,29,62,151,218
13928927,664,2011-02-10 15:58:13,2010-08-19 19:53:32,0.47078516615931,2,77,205,178
13928927,751,2011-02-10 15:58:13,2010-09-02 16:22:39,0.432830225773719,3,27,57,53
13929092,1965,2012-02-24 01:39:46,2011-02-15 22:18:21,1.02298595256215,5,101,215,151
13929582,1205,2011-03-22 15:29:49,2010-11-10 19:55:09,0.361139015728057,1,3,5,6
13929923,664,2011-04-12 21:50:01,2010-08-19 19:53:32,0.641317510147133,3,121,435,374
13930114,124,2016-01-21 10:23:04,2010-07-22 23:03:05,5.4951293442415,1,220,287,318
13930685,79,2018-05-01 10:41:18,2010-07-22 19:56:07,7.77086222095383,23,1418,3154,3534
13930817,22646,2019-04-29 09:49:13,2013-10-05 14:05:14,5.56184167300863,1,70,45,97
13930817,115,2019-04-29 09:49:13,2010-07-22 22:00:13,8.76299277016743,143,2369,10281,100144
13930964,79,2011-06-17 14:31:00,2010-07-22 19:56:07,0.89253212201928,3,180,162,234
13930964,1795,2011-06-17 14:31:00,2011-01-27 20:15:28,0.385645991882293,31,1,40,98
13931211,1608,2017-12-08 01:39:18,2011-01-07 17:43:29,6.90912446093354,55,940,1364,3314
13931211,2086,2017-12-08 01:39:18,2011-02-28 15:44:01,6.76414627727042,150,102,420,662
13931215,276,2011-07-06 16:46:32,2010-07-29 22:55:46,0.925324898528666,2,527,489,779
13931215,803,2011-07-06 16:46:32,2010-09-12 21:45:20,0.80491095890411,31,49,142,215
13931605,1872,2015-05-06 12:47:58,2011-02-06 00:39:17,4.25070145230847,13,356,521,719
13931605,19460,2015-05-06 12:47:58,2013-06-26 02:08:42,1.85121626078133,29,13,85,256
13932098,108,2011-09-06 19:22:06,2010-07-22 21:17:19,1.12375339294774,44,102,328,452
13932157,664,2015-01-21 00:08:24,2010-08-19 19:53:32,4.4169232623034,3,515,4231,4022
13932236,2746,2019-04-09 11:31:13,2011-04-01 18:41:54,8.02657784753932,5,153,272,184
13932622,1965,2011-10-16 08:25:24,2011-02-15 22:18:21,0.658689212328767,3,63,102,90
13933175,664,2011-11-28 20:29:35,2010-08-19 19:53:32,1.27198639649924,3,220,1062,1224
13933175,1297,2011-11-28 20:29:35,2010-11-23 17:53:07,1.01468125317098,4,21,56,42
13933369,4381,2011-12-12 14:56:37,2011-09-30 00:42:33,0.198885210553019,7,10,10,41
13933515,15054,2017-10-19 21:43:48,2013-02-11 05:35:30,4.68403405631659,9,603,4383,911
13933995,5538,2012-01-26 22:13:42,2012-01-18 18:49:04,0.0223071410451547,1,2,0,8
13933995,198,2012-01-26 22:13:42,2010-07-25 05:06:36,1.49852949010654,1,52,37,69
13934507,51035,2015-07-01 19:29:38,2015-04-24 13:09:59,0.184283961187215,3,13,12,27
13934507,1965,2015-07-01 19:29:38,2011-02-15 22:18:21,4.36954201547438,7,184,437,290
13934535,4754,2012-02-23 08:37:44,2011-11-08 14:41:59,0.286978215372907,6,1,9,21
13934535,1649,2012-02-23 08:37:44,2011-01-13 08:07:24,1.11033168442415,16,23,66,77
13934535,173,2012-02-23 08:37:44,2010-07-23 12:12:52,1.57835781329274,31,78,138,313
13934577,2022,2012-02-25 00:18:32,2011-02-22 15:02:24,1.00722247590056,33,94,183,338
13934615,4904,2015-10-05 06:09:28,2011-11-23 20:46:02,3.8551815702689,7,1,10,25
13934615,1150,2015-10-05 06:09:28,2010-11-01 19:40:51,4.91626449137494,8,1,20,26
13934767,5850,2012-03-07 04:17:39,2012-02-09 06:55:51,0.0736716133942161,1,1,2,5
13934767,762,2012-03-07 04:17:39,2010-09-05 04:20:04,1.49931047057331,2,15,18,34
13934835,5483,2018-06-18 17:48:34,2012-01-15 08:28:18,6.4243536276002,4,16,16,42
13934835,22960,2018-06-18 17:48:34,2013-10-15 18:39:29,4.66839627727042,5,4,2,26
13934892,3009,2012-03-13 17:01:44,2011-05-18 12:34:44,0.811466894977169,1,2,10,8
13934892,5850,2012-03-13 17:01:44,2012-02-09 06:55:51,0.0943034309994926,2,3,7,10
13934892,3972,2012-03-13 17:01:44,2011-08-17 23:59:28,0.566328513444952,3,1,1,10
13935210,10953,2017-04-26 13:00:24,2012-10-13 04:39:42,4.53245947488584,1,14,32,32
13935210,14412,2017-04-26 13:00:24,2013-01-20 05:22:50,4.26662398528666,2,9,18,29
13935280,2620,2012-04-03 16:51:53,2011-04-08 15:16:32,0.972784151445967,3,24,52,56
13935331,664,2019-05-29 00:05:28,2010-08-19 19:53:32,8.77034233891426,3,582,4923,4336
13935359,8563,2016-11-17 14:01:55,2012-07-01 01:40:14,4.37675358320649,11,342,1620,854
13935359,115,2016-11-17 14:01:55,2010-07-22 22:00:13,6.32100780060883,92,1741,6784,55640
13935556,5130,2012-04-16 20:04:59,2011-12-12 18:15:54,0.339933567985794,3,2,0,12
13935556,3076,2012-04-16 20:04:59,2011-04-13 15:51:56,1.00938555936073,4,22,25,38
13935556,5222,2012-04-16 20:04:59,2011-12-21 14:54:53,0.318398211567732,6,62,56,101
13935633,276,2012-04-18 14:22:15,2010-07-29 22:55:46,1.71203668822933,2,709,845,1141
13935633,916,2012-04-18 14:22:15,2010-09-29 09:45:52,1.54641625443937,48,22,107,208
13935641,753,2012-04-18 21:12:15,2010-09-02 18:05:59,1.62021740233384,17,148,472,373
13935641,108,2012-04-18 21:12:15,2010-07-22 21:17:19,1.73218214104515,63,159,471,660
13935691,934,2018-06-20 07:39:39,2010-10-01 18:58:03,7.71309284627093,9,998,1594,2371
13935691,36393,2018-06-20 07:39:39,2014-08-29 07:54:13,3.80202708016235,17,67,177,201
13935691,34531,2018-06-20 07:39:39,2014-07-14 22:07:58,3.92095069127347,28,528,2461,996
13935763,325,2012-04-24 16:54:24,2010-07-30 10:05:13,1.72749083587012,28,118,129,255
13935931,960,2012-05-02 05:33:50,2010-10-06 12:50:13,1.56697796169457,2,107,116,144
13935931,17009,2012-05-02 05:33:50,2010-07-30 09:25:31,1.74818933916794,6,25,35,45
13936022,664,2012-05-05 05:14:32,2010-08-19 19:53:32,1.70312214611872,3,278,1540,1708
13936022,4537,2012-05-05 05:14:32,2011-10-18 12:12:18,0.541670915778792,6,3,21,27
13936056,410,2012-05-07 20:25:16,2010-08-02 07:51:06,1.75554445712836,7,3,20,27
13936065,3833,2012-05-08 14:27:33,2011-08-02 11:30:43,0.756500824454592,1,26,33,43
13936122,664,2012-05-09 18:04:25,2010-08-19 19:53:32,1.71554582064942,3,281,1549,1712
13936278,664,2012-05-15 18:30:29,2010-08-19 19:53:32,1.73203377092846,3,281,1561,1717
13936278,2695,2012-05-15 18:30:29,2011-04-15 12:21:25,1.08357889396246,8,6,4,32
13936420,664,2012-05-21 16:23:38,2010-08-19 19:53:32,1.74549105783866,3,286,1579,1732
13936429,664,2017-10-27 11:57:13,2010-08-19 19:53:32,7.19018965626586,3,579,4873,4320
13937087,115,2012-06-20 07:41:06,2010-07-22 22:00:13,1.90042024987316,16,92,178,190
