question_id,answer,word_count,code_present,ext_ref_present,img_present,high_interaction,very_high_interaction
153070,f,15,f,f,f,t,f
153079,f,158,t,f,f,f,f
153080,t,84,t,f,f,f,f
153112,f,256,t,f,f,f,f
153112,f,256,t,f,f,f,f
153114,t,51,f,t,f,f,f
153116,t,71,f,t,f,f,f
153132,f,113,f,f,f,f,f
153234,f,24,f,f,f,f,f
153322,t,51,f,t,f,f,f
153347,t,652,f,t,t,f,f
153358,t,92,f,t,t,f,f
153376,t,126,f,t,f,f,f
153410,t,42,f,t,f,f,f
153417,t,42,f,t,f,f,f
153430,t,32,t,f,f,f,f
153432,t,79,t,f,t,f,f
153437,t,108,t,f,f,f,f
153456,t,62,t,t,f,f,f
153495,t,44,f,f,t,f,f
153531,t,8,t,t,f,f,f
153551,t,43,f,f,f,f,f
153552,t,69,t,f,f,f,f
153581,f,99,f,t,t,f,f
153641,f,68,t,f,t,t,f
153702,t,147,f,f,f,f,f
153814,t,40,f,f,f,f,f
153919,t,153,t,t,f,f,f
153934,f,174,t,f,f,f,f
153934,f,174,t,f,f,f,f
153934,f,174,t,f,f,f,f
153934,f,174,t,f,f,f,f
153942,f,71,f,f,f,f,f
153953,t,68,f,f,f,f,f
153984,t,150,f,t,f,f,f
154013,t,242,t,f,f,f,f
154025,f,116,f,f,t,f,f
154025,f,116,f,f,t,f,f
154066,t,230,t,t,t,f,f
154090,t,43,f,f,t,f,f
154137,f,191,t,f,f,f,f
154137,f,191,t,f,f,f,f
154150,t,13,f,f,f,f,f
154170,t,140,t,t,f,f,f
154231,t,61,t,f,t,f,f
154268,t,85,t,f,f,f,f
154310,f,59,t,f,f,f,f
154310,f,59,t,f,f,f,f
154310,f,59,t,f,f,f,f
154349,t,99,t,f,t,f,f
154370,f,67,f,f,f,f,f
154376,t,152,f,t,f,f,f
154392,t,157,t,f,f,f,f
154393,t,58,f,f,f,f,f
154526,f,270,t,t,f,f,f
154526,f,270,t,t,f,f,f
154586,f,94,t,t,f,f,f
154586,f,94,t,t,f,f,f
154586,f,94,t,t,f,f,f
154593,t,45,t,t,f,f,f
154599,t,54,t,t,f,f,f
154610,t,29,f,f,f,f,f
154617,f,173,f,t,f,f,f
154628,t,25,f,t,f,f,f
154655,f,70,f,f,f,f,f
154655,f,70,f,f,f,f,f
154763,t,163,t,t,f,f,f
154769,t,143,t,t,f,f,f
154868,t,352,f,t,f,f,f
154900,f,157,f,t,f,f,f
154900,f,157,f,t,f,f,f
154908,t,107,t,t,f,f,f
154938,t,52,t,f,f,f,f
154975,f,229,f,t,t,f,t
154975,f,229,f,t,t,f,t
154986,f,146,f,f,f,f,f
155028,t,61,t,f,f,f,f
155071,t,189,t,f,f,f,f
155081,f,218,f,f,f,f,f
155081,f,218,f,f,f,f,f
155081,f,218,f,f,f,f,f
155081,f,218,f,f,f,f,f
155097,t,82,t,t,t,f,f
155123,t,83,f,t,f,f,f
155160,t,100,f,f,f,f,f
155171,t,54,f,f,f,f,f
155172,t,185,f,t,f,f,f
155205,t,126,t,t,f,f,f
155230,f,10,f,f,f,f,f
155236,t,37,f,f,f,f,f
155262,t,133,f,t,f,f,f
155302,t,30,t,t,f,f,f
155307,f,136,t,f,f,f,f
155321,t,120,f,t,f,f,f
155340,t,555,t,t,f,f,f
155342,t,75,t,t,f,f,f
155372,t,41,f,t,f,f,f
155373,f,200,t,t,f,f,f
155385,t,38,f,t,f,f,f
155406,f,168,t,f,f,f,f
155406,f,168,t,f,f,f,f
155406,f,168,t,f,f,f,f
155407,f,141,f,t,t,f,f
155426,f,198,f,t,t,f,f
155426,f,198,f,t,t,f,f
155428,t,82,f,t,t,f,f
155447,t,69,t,t,f,f,f
155462,t,66,f,t,f,f,f
155485,t,39,f,t,f,f,f
155492,t,45,f,t,f,f,f
155495,t,137,t,t,t,f,f
155541,t,61,t,f,f,f,f
155565,t,62,f,t,f,f,f
