year,month,count_all,count_mods,mod_co_share
2017,1,405,348,0.859259259259259
2017,2,370,325,0.878378378378378
2017,3,376,332,0.882978723404255
2017,4,336,296,0.880952380952381
2017,5,370,335,0.905405405405405
2017,6,301,253,0.840531561461794
2017,7,370,290,0.783783783783784
2017,8,310,263,0.848387096774194
2017,9,296,215,0.726351351351351
2017,10,276,163,0.590579710144927
2017,11,341,199,0.583577712609971
2017,12,296,166,0.560810810810811
2018,1,330,187,0.566666666666667
2018,2,352,236,0.670454545454545
2018,3,320,182,0.56875
2018,4,331,182,0.549848942598187
2018,5,374,214,0.572192513368984
2018,6,310,206,0.664516129032258
2018,7,202,136,0.673267326732673
2018,8,144,69,0.479166666666667
2018,9,193,110,0.569948186528497
2018,10,259,150,0.579150579150579
2018,11,191,106,0.554973821989529
2018,12,165,96,0.581818181818182
2019,1,258,124,0.48062015503876
2019,2,310,169,0.545161290322581
2019,3,271,142,0.523985239852399
2019,4,249,148,0.594377510040161
2019,5,256,141,0.55078125
2019,6,247,156,0.631578947368421
2019,7,348,207,0.594827586206897
2019,8,283,158,0.558303886925795
2019,9,241,134,0.556016597510373
2019,10,271,172,0.634686346863469
2019,11,343,224,0.653061224489796
2019,12,260,182,0.7
2020,1,373,218,0.584450402144772
2020,2,206,93,0.451456310679612
2020,3,160,27,0.16875
2020,4,169,33,0.195266272189349
2020,5,218,87,0.399082568807339
