month,count_2017,mod_count_2017,count_2019,mod_count_2019,ratio_increase_total,mod_share_2017,mod_share_2019
1,4485,447,4439,220,0.98974358974359,0.0996655518394649,0.0495607118720433
2,4732,667,4512,328,0.953508030431107,0.140955198647506,0.0726950354609929
3,5157,676,4102,221,0.795423695947256,0.131083963544697,0.0538761579717211
4,4100,461,3937,194,0.960243902439024,0.112439024390244,0.0492760985521971
5,4337,573,3954,263,0.911690108369841,0.132118976250865,0.0665149215983814
6,4719,531,3623,195,0.76774740411104,0.112523839796567,0.0538227987855368
7,4317,320,4259,274,0.98656474403521,0.0741255501505675,0.0643343507865696
8,4014,284,3736,181,0.93074240159442,0.0707523667164923,0.0484475374732334
9,3945,289,3570,170,0.904942965779468,0.0732572877059569,0.0476190476190476
10,3841,273,3949,235,1.0281176776881,0.0710752408227024,0.0595087363889592
11,4268,339,3945,255,0.924320524835989,0.0794283036551078,0.064638783269962
12,3294,212,3642,196,1.10564663023679,0.0643594414086217,0.0538165842943438
