year,month,count_all,count_mods,mod_co_share
2017,1,4485,447,0.0996655518394649
2017,2,4732,667,0.140955198647506
2017,3,5157,676,0.131083963544697
2017,4,4100,461,0.112439024390244
2017,5,4337,573,0.132118976250865
2017,6,4719,531,0.112523839796567
2017,7,4317,320,0.0741255501505675
2017,8,4014,284,0.0707523667164923
2017,9,3945,289,0.0732572877059569
2017,10,3841,273,0.0710752408227024
2017,11,4268,339,0.0794283036551078
2017,12,3294,212,0.0643594414086217
2018,1,3972,274,0.0689828801611279
2018,2,3756,311,0.082800851970181
2018,3,4583,306,0.0667684922539821
2018,4,4415,287,0.0650056625141563
2018,5,4257,243,0.0570824524312896
2018,6,3892,264,0.0678314491264132
2018,7,3715,256,0.0689098250336474
2018,8,4000,125,0.03125
2018,9,3629,173,0.0476715348580876
2018,10,3850,209,0.0542857142857143
2018,11,4134,176,0.042573778422835
2018,12,3287,167,0.0508062062671129
2019,1,4439,220,0.0495607118720433
2019,2,4512,328,0.0726950354609929
2019,3,4102,221,0.0538761579717211
2019,4,3937,194,0.0492760985521971
2019,5,3954,263,0.0665149215983814
2019,6,3623,195,0.0538227987855368
2019,7,4259,274,0.0643343507865696
2019,8,3736,181,0.0484475374732334
2019,9,3570,170,0.0476190476190476
2019,10,3949,235,0.0595087363889592
2019,11,3945,255,0.064638783269962
2019,12,3642,196,0.0538165842943438
2020,1,4039,260,0.0643723693983659
2020,2,4258,304,0.0713950211366839
2020,3,3802,211,0.0554971067859022
2020,4,3882,219,0.0564142194744977
2020,5,4175,309,0.0740119760479042
