month,count_2017,mod_count_2017,count_2019,mod_count_2019,ratio_increase_total,mod_share_2017,mod_share_2019
1,6569,2100,3913,1306,0.595676663114629,0.319683361242198,0.333759263991822
2,4664,2014,3714,1292,0.79631217838765,0.431818181818182,0.347872913301023
3,5187,2039,3818,1241,0.736070946597262,0.393098129940235,0.325039287585123
4,12871,1664,3698,1122,0.287312563126408,0.129282884002797,0.303407247160627
5,5669,1615,3936,1402,0.694302346092785,0.284882695360734,0.35619918699187
6,5009,1753,3482,1058,0.695148732281893,0.349970053902975,0.303848363009764
7,4624,1861,4804,1807,1.03892733564014,0.402465397923875,0.376144879267277
8,4231,1667,4072,1404,0.96242023162373,0.393996691089577,0.344793713163065
9,3688,1663,3791,1209,1.0279284164859,0.450921908893709,0.318913215510419
10,3803,1593,4244,1597,1.11596108335525,0.418879831711806,0.376295947219604
11,4103,1874,4069,1411,0.991713380453327,0.45673897148428,0.346768247726714
12,3921,1361,4060,1452,1.03545014027034,0.34710533027289,0.357635467980296
