year,month,count_all,count_mods,mod_co_share
2017,1,6569,2100,0.319683361242198
2017,2,4664,2014,0.431818181818182
2017,3,5187,2039,0.393098129940235
2017,4,12871,1664,0.129282884002797
2017,5,5669,1615,0.284882695360734
2017,6,5009,1753,0.349970053902975
2017,7,4624,1861,0.402465397923875
2017,8,4231,1667,0.393996691089577
2017,9,3688,1663,0.450921908893709
2017,10,3803,1593,0.418879831711806
2017,11,4103,1874,0.45673897148428
2017,12,3921,1361,0.34710533027289
2018,1,4067,1659,0.407917383820998
2018,2,3735,1907,0.510575635876841
2018,3,3961,1365,0.344609946983085
2018,4,3923,1188,0.302829467244456
2018,5,3810,1583,0.415485564304462
2018,6,3453,1353,0.391833188531712
2018,7,3429,1557,0.454068241469816
2018,8,3275,706,0.215572519083969
2018,9,3467,960,0.276896452264205
2018,10,4066,1380,0.339399901623217
2018,11,4019,1336,0.332421000248818
2018,12,3201,1083,0.338331771321462
2019,1,3913,1306,0.333759263991822
2019,2,3714,1292,0.347872913301023
2019,3,3818,1241,0.325039287585123
2019,4,3698,1122,0.303407247160627
2019,5,3936,1402,0.35619918699187
2019,6,3482,1058,0.303848363009764
2019,7,4804,1807,0.376144879267277
2019,8,4072,1404,0.344793713163065
2019,9,3791,1209,0.318913215510419
2019,10,4244,1597,0.376295947219604
2019,11,4069,1411,0.346768247726714
2019,12,4060,1452,0.357635467980296
2020,1,4345,1590,0.365937859608746
2020,2,3843,829,0.215716887848035
2020,3,3964,374,0.0943491422805247
2020,4,3430,351,0.102332361516035
2020,5,3330,332,0.0996996996996997
