year,month,count_all,count_mods,mod_co_share
2017,1,1398,8,0.00572246065808298
2017,2,1359,11,0.00809418690213392
2017,3,1524,8,0.005249343832021
2017,4,1300,14,0.0107692307692308
2017,5,1338,9,0.00672645739910314
2017,6,1401,7,0.00499643112062812
2017,7,1304,2,0.00153374233128834
2017,8,1246,3,0.00240770465489567
2017,9,1153,3,0.002601908065915
2017,10,1163,3,0.00257953568357696
2017,11,1278,5,0.00391236306729264
2018,1,1248,5,0.00400641025641026
2018,2,1193,7,0.00586756077116513
2018,3,1394,4,0.00286944045911047
2018,4,1283,3,0.00233826968043648
2018,5,1275,4,0.00313725490196078
2018,6,1233,4,0.0032441200324412
2018,7,1232,3,0.00243506493506494
2018,9,1008,1,0.000992063492063492
2018,10,1192,3,0.00251677852348993
2018,12,977,1,0.00102354145342886
2019,2,1303,2,0.00153491941673062
2019,3,1264,1,0.000791139240506329
2019,5,1269,1,0.000788022064617809
2019,6,1233,1,0.0008110300081103
2019,7,1481,2,0.00135043889264011
2019,9,1256,1,0.000796178343949045
2019,10,1349,5,0.00370644922164566
2019,11,1420,5,0.00352112676056338
2019,12,1200,6,0.005
2020,1,1333,2,0.00150037509377344
2020,2,1429,2,0.00139958012596221
2020,3,1483,1,0.000674308833445718
2020,4,1527,2,0.00130975769482646
2020,5,1626,1,0.000615006150061501
