year,weekday,count,ninetyth_percentile_reaction_time_days,tenth_percentile_reaction_time_minutes
2009,3,1,0.00340277777777778,4.9
2010,1,207,2.3558912037037,11.6666666666667
2010,2,193,2.05355324074074,10.2
2010,3,252,1.62998842592593,12.0833333333333
2010,4,248,3.76032407407407,10.9
2010,5,219,2.75417824074074,12.6666666666667
2010,6,60,1.80146990740741,16.2833333333333
2010,7,59,0.949907407407407,29.3
2011,1,636,3.24873842592593,13.4333333333333
2011,2,763,3.63085648148148,14.7833333333333
2011,3,784,7.11986111111111,13.2833333333333
2011,4,749,4.2719212962963,13.4666666666667
2011,5,652,7.72668981481482,14.5333333333333
2011,6,212,3.00673611111111,20.3666666666667
2011,7,204,10.1864930555556,28.5166666666667
2012,1,1274,29.2147453703704,15.2666666666667
2012,2,1365,28.2903356481481,14.85
2012,3,1424,33.3766319444444,15.4166666666667
2012,4,1403,32.8947106481481,15.1833333333333
2012,5,1228,33.199537037037,13.7166666666667
2012,6,436,20.6102662037037,27.5
2012,7,452,18.6872685185185,35.75
2013,1,1649,37.4773842592593,14.6333333333333
2013,2,1795,34.8637152777778,14.5333333333333
2013,3,1882,41.9467361111111,15
2013,4,1870,23.9281134259259,13.3833333333333
2013,5,1583,40.0967939814815,14.8
2013,6,618,17.9107175925926,28.05
2013,7,640,21.0511574074074,20.3166666666667
2014,1,1973,21.432650462963,13.9666666666667
2014,2,2308,50.0708564814815,12.7833333333333
2014,3,2317,34.7999652777778,14.9333333333333
2014,4,2204,44.9578009259259,12.6
2014,5,1934,22.693287037037,13.9
2014,6,662,13.5998842592593,21.6333333333333
2014,7,737,10.5296296296296,22.25
2015,1,2107,16.8950347222222,13.85
2015,2,2369,32.8749189814815,15.3166666666667
2015,3,2402,26.1496412037037,15.35
2015,4,2372,22.1346064814815,15.3
2015,5,2027,45.0462152777778,17.1
2015,6,765,21.0998032407407,24.6
2015,7,753,41.9658680555556,29.9166666666667
2016,1,2117,18.3925231481481,13.4833333333333
2016,2,2398,20.6725694444444,14.2
2016,3,2476,21.9455324074074,13.5166666666667
2016,4,2340,12.9832986111111,13.0333333333333
2016,5,2080,20.1224421296296,13.3166666666667
2016,6,762,24.2857291666667,25.45
2016,7,789,14.7536111111111,27.3333333333333
2017,1,1940,13.9184143518519,14.8
2017,2,2085,13.2480671296296,14.0333333333333
2017,3,2195,11.7803587962963,13.8666666666667
2017,4,2203,18.2642824074074,14.2
2017,5,1884,14.9678240740741,15.5333333333333
2017,6,632,7.27166666666667,31.9
2017,7,691,17.8887615740741,25.6666666666667
2018,1,1793,7.69086805555556,15.55
2018,2,1969,7.9521412037037,14.5
2018,3,2076,7.86034722222222,14.2333333333333
2018,4,2013,11.3906944444444,13.3833333333333
2018,5,1710,9.91662037037037,15.0166666666667
2018,6,623,8.51148148148148,31.0666666666667
2018,7,604,8.98953703703704,28.0833333333333
2019,1,1657,5.28435185185185,16.8666666666667
2019,2,1758,6.8399537037037,16.1666666666667
2019,3,1846,5.91090277777778,15.6833333333333
2019,4,1776,6.46195601851852,17.4833333333333
2019,5,1605,9.8378587962963,17.9166666666667
2019,6,584,5.49729166666667,41.2666666666667
2019,7,605,6.60447916666667,31.6333333333333
2020,1,646,2.15510416666667,16.9666666666667
2020,2,682,2.73326388888889,18.9833333333333
2020,3,784,2.5274537037037,17.2
2020,4,743,4.1184837962963,17.9833333333333
2020,5,684,3.72046296296296,17.8333333333333
2020,6,312,2.75270833333333,31.3333333333333
2020,7,324,3.54206018518519,31.4166666666667
