month,count_2017,mod_count_2017,count_2019,mod_count_2019,ratio_increase_total,mod_share_2017,mod_share_2019
1,11117,11,8843,10,0.795448412341459,0.00098947557794369,0.00113083795092163
2,11095,32,9321,10,0.8401081568274,0.00288418206399279,0.00107284626113078
3,12477,22,9082,10,0.727899334775988,0.00176324436964014,0.00110107905747633
4,9277,12,8675,1,0.935108332435054,0.00129352161259028,0.000115273775216138
5,10368,7,8468,2,0.816743827160494,0.000675154320987654,0.000236183278223902
6,11649,20,7216,2,0.619452313503305,0.00171688556957679,0.000277161862527716
7,11328,13,8327,9,0.735081214689266,0.0011475988700565,0.00108082142428245
8,10525,12,7330,5,0.696437054631829,0.00114014251781473,0.000682128240109141
9,9247,9,6992,6,0.756137125554234,0.000973288634151617,0.00085812356979405
10,10011,12,8354,5,0.834482069723304,0.00119868145040456,0.000598515681110845
11,10239,20,8578,6,0.837777126672527,0.00195331575349155,0.000699463744462579
12,9768,17,7485,2,0.766277641277641,0.00174037674037674,0.000267201068804275
