year,month,count_all,count_mods,mod_co_share
2017,1,11117,11,0.00098947557794369
2017,2,11095,32,0.00288418206399279
2017,3,12477,22,0.00176324436964014
2017,4,9277,12,0.00129352161259028
2017,5,10368,7,0.000675154320987654
2017,6,11649,20,0.00171688556957679
2017,7,11328,13,0.0011475988700565
2017,8,10525,12,0.00114014251781473
2017,9,9247,9,0.000973288634151617
2017,10,10011,12,0.00119868145040456
2017,11,10239,20,0.00195331575349155
2017,12,9768,17,0.00174037674037674
2018,1,10065,17,0.00168902136115251
2018,2,9017,16,0.00177442608406344
2018,3,10502,16,0.00152351932965149
2018,4,10306,19,0.00184358626043082
2018,5,10178,4,0.000393004519551975
2018,6,8407,3,0.000356845485904603
2018,7,7940,4,0.000503778337531486
2018,8,8045,4,0.000497203231821007
2018,9,8156,5,0.000613045610593428
2018,10,9013,3,0.000332852546321979
2018,11,9231,6,0.00064998375040624
2018,12,7455,2,0.000268276324614353
2019,1,8843,10,0.00113083795092163
2019,2,9321,10,0.00107284626113078
2019,3,9082,10,0.00110107905747633
2019,4,8675,1,0.000115273775216138
2019,5,8468,2,0.000236183278223902
2019,6,7216,2,0.000277161862527716
2019,7,8327,9,0.00108082142428245
2019,8,7330,5,0.000682128240109141
2019,9,6992,6,0.00085812356979405
2019,10,8354,5,0.000598515681110845
2019,11,8578,6,0.000699463744462579
2019,12,7485,2,0.000267201068804275
2020,1,8547,10,0.00117000117000117
2020,2,9570,14,0.00146290491118077
2020,3,9935,16,0.00161046804227479
2020,4,9045,2,0.000221116639027087
2020,5,8749,2,0.000228597554006172
