question_id,total_score,viewcount,answer_number,comment_number,q_edited,a_edited,wiki
1,22,1264,2,9,t,t,f
2,42,4332,3,6,t,t,f
3,95,8842,15,21,t,t,t
4,31,3527,6,17,t,t,f
6,116,4184,12,9,t,t,f
8,44,19931,8,9,t,t,f
16,82,37499,8,9,f,t,f
18,14,1126,3,4,t,t,f
21,19,8898,2,0,t,t,f
24,167,47074,11,1,t,t,t
27,42,1966,6,8,f,t,t
30,62,1577,3,1,t,t,f
38,44,2362,5,7,t,t,f
41,62,63383,10,16,t,t,t
42,182,102033,15,19,t,t,f
46,23,18156,7,7,t,f,f
47,46,13813,6,6,t,t,f
58,5,861,1,6,t,t,f
59,70,5973,9,9,f,t,f
61,23,218,5,2,t,f,f
64,36,611,8,2,f,t,t
66,80,45722,6,25,t,t,f
74,6,2003,5,2,t,f,f
75,8,775,3,4,t,f,f
80,321,24702,5,22,t,t,f
81,8,948,2,0,t,f,f
83,84,11310,4,13,t,t,f
87,28,380,5,2,t,f,f
88,49,23764,8,11,f,t,f
90,74,21406,9,12,t,t,f
97,43,43165,3,4,t,t,f
98,384,116718,24,16,t,t,f
107,58,3906,4,5,t,t,f
120,27,5452,3,5,t,t,f
128,5,12415,4,0,t,t,f
130,41,3404,3,8,t,t,f
132,58,10880,3,9,t,t,f
134,27,965,2,3,t,t,f
135,11,2387,5,6,t,t,f
137,57,669,11,1,t,t,t
138,17,1306,2,1,t,t,f
147,150,30498,21,26,t,t,f
155,7,1664,5,3,f,t,f
156,19,439,3,2,t,f,f
160,67,1321,9,3,t,t,t
168,21,362,5,4,t,t,f
171,12,353,4,1,t,f,f
172,8,336,4,2,t,f,f
173,9,209,3,3,t,t,f
174,16,1074,2,2,t,f,f
176,12,490,1,3,t,t,f
177,36,4583,5,3,t,t,f
178,59,5172,4,0,t,t,f
179,34,16023,4,3,t,t,f
181,66,11339,6,3,t,t,f
187,41,3484,3,4,t,t,f
191,9,6285,1,3,t,f,f
197,13,325,3,1,t,t,f
202,255,9040,16,2,t,t,t
204,40,2713,5,4,t,t,f
210,89,11212,12,8,t,t,f
211,7,272,2,0,t,f,f
216,19,1610,5,7,t,f,f
221,65,8486,9,15,t,t,f
226,3,158,1,0,f,f,f
227,16,1013,6,3,f,t,f
233,36,7016,7,5,t,t,f
235,146,244085,6,20,t,t,f
238,5,670,1,3,t,t,f
240,22,8662,4,8,t,t,f
253,99,17043,3,6,t,t,f
255,40,17843,5,9,t,t,f
256,210,43823,5,11,t,t,t
259,20,1426,5,1,f,f,f
260,16,829,1,0,t,t,t
286,5,344,1,4,t,f,f
305,29,24033,9,2,t,t,f
308,17,1307,3,0,t,t,f
317,61,2947,15,6,t,t,f
318,28,917,4,3,t,f,f
325,20,1756,6,10,t,t,f
327,81,17093,9,22,t,t,f
328,11,1458,2,2,t,f,f
333,19,12576,4,1,f,t,f
339,28,5441,5,5,f,t,f
341,35,1512,5,0,t,t,f
347,23,3235,4,2,t,t,t
349,5,599,2,4,t,f,f
356,3,262,1,7,t,f,f
358,22,3244,6,9,f,t,f
370,12,2704,3,1,t,t,f
377,14,2894,1,1,t,f,f
381,8,759,2,2,t,f,f
382,38,12379,8,3,f,t,f
387,11,8492,2,5,t,f,f
388,20,911,2,10,t,t,f
396,95,18509,7,12,t,t,f
401,20,5030,3,6,f,f,f
402,14,2626,1,3,t,t,f
407,20,3025,3,0,f,t,f
408,89,7712,9,4,t,t,t
410,16,564,2,1,t,t,f
412,19,1306,3,1,t,f,f
420,4,249,1,1,t,f,f
422,9,4570,3,1,t,f,f
425,8,2519,2,0,f,f,f
429,31,6902,7,10,t,t,f
432,19,1531,6,8,f,t,f
440,73,6308,10,13,t,t,t
443,15,288,2,2,t,f,f
447,12,290,1,0,t,f,f
448,8,1260,1,3,f,f,f
450,5,182,1,0,f,f,f
452,95,26598,12,15,t,t,f
453,7,1255,3,0,t,f,f
457,5,587,1,2,t,f,f
458,5,944,4,0,t,t,f
476,7,555,1,0,t,f,f
478,48,2607,11,14,t,t,t
480,13,1338,2,2,t,f,f
495,120,81249,14,5,t,t,t
496,18,2636,3,1,f,f,f
502,8,1574,4,5,t,t,f
517,15,2365,8,4,t,t,f
524,5,147,4,6,t,t,f
537,31,1654,6,5,t,f,f
538,4,250,1,6,t,f,f
543,60,8183,6,4,t,f,t
544,8,287,2,0,f,f,f
558,67,4442,7,9,t,t,f
559,25,5622,5,5,t,f,t
565,2,234,1,0,t,f,f
571,7,861,1,4,t,f,f
572,14,1022,1,8,t,t,f
590,5,455,1,6,f,t,f
593,4,3271,1,6,t,f,f
598,9,2098,3,0,t,f,f
603,47,49982,4,5,t,t,f
609,41,12786,4,7,t,t,f
610,5,292,1,0,t,f,f
613,4,1025,1,0,f,f,f
617,3,1358,3,2,t,f,f
618,16,2381,4,19,t,t,f
621,2,224,1,0,t,t,f
622,4,562,2,3,t,t,f
623,14,2438,2,2,t,f,f
624,7,5925,4,5,f,t,f
627,14,2097,4,0,f,f,f
628,15,1403,2,4,t,f,f
630,27,3250,4,0,t,t,f
642,11,7933,3,1,t,t,f
644,79,3802,7,5,t,t,f
646,6,1122,5,4,t,t,f
653,236,9200,16,5,t,t,t
664,749,126400,11,30,t,t,f
668,51,6462,2,2,f,t,f
671,11,354,9,1,t,t,t
679,33,1111,4,4,t,f,f
681,14,2641,2,1,t,t,f
693,1,212,2,5,t,f,f
695,6,244,2,0,t,f,f
699,15,595,6,5,t,t,t
711,43,16925,5,8,t,t,f
721,186,10348,8,6,t,t,t
724,45,10397,2,1,t,t,f
728,13,6497,4,5,t,f,f
735,32,9967,3,5,t,f,f
739,10,1322,3,1,f,f,f
740,12,23557,2,5,t,t,f
746,7,378,1,2,t,t,f
747,17,973,3,5,t,f,f
748,23,5558,7,8,t,t,f
749,27,10499,3,2,f,f,f
751,11,1625,2,2,t,f,f
752,3,391,1,12,f,t,f
763,25,1765,5,14,t,f,f
764,11,2366,5,3,t,t,f
765,15,2998,2,2,t,f,f
771,20,3518,6,4,t,t,f
774,16,498,5,8,t,t,f
778,116,7938,12,6,t,t,t
783,17,2176,3,5,t,t,f
791,1,136,1,0,t,t,f
797,23,1659,8,6,t,t,t
800,3,1016,1,4,t,t,f
815,19,4477,4,1,t,f,f
818,2,140,1,0,f,f,f
823,14,3391,3,6,t,t,f
824,10,1298,6,11,t,f,f
826,57,5003,5,5,t,t,f
839,8,390,2,3,t,f,f
841,33,11469,3,6,t,t,f
851,15,593,3,4,f,f,f
854,12,301,1,4,t,f,f
855,51,2601,4,14,t,t,f
868,3,6212,2,6,t,f,f
870,40,14143,10,9,t,t,t
874,8,706,3,1,t,t,f
878,31,33448,10,6,t,t,f
882,12,2521,3,1,t,f,f
883,87,16578,10,8,t,t,f
888,10,1212,3,4,t,f,f
898,48,12087,5,7,t,t,f
906,5,292,1,2,t,f,f
910,29,5359,2,8,t,t,f
913,52,8430,10,19,t,t,f
920,20,1113,3,5,f,t,f
927,398,13144,37,16,f,t,t
930,32,2461,4,6,t,t,f
931,36,2918,5,3,t,f,t
942,15,1702,2,4,t,t,f
944,7,676,3,4,f,t,f
950,20,7944,4,8,t,f,f
955,6,434,3,4,t,f,f
957,9,497,1,3,f,f,f
969,14,866,4,10,t,t,f
981,2,597,3,6,t,f,f
986,9,3151,5,1,f,t,f
997,6,543,3,2,t,t,f
999,2,528,3,2,f,f,f
1002,25,1555,5,4,t,f,f
1010,7,2647,4,1,f,t,f
1012,3,519,2,1,t,f,f
1014,6,2594,3,0,t,t,t
1015,33,6626,1,0,t,t,f
1019,16,1037,1,2,t,f,f
1020,20,1574,2,4,t,f,f
1027,9,2043,6,3,t,t,f
1037,5,197,1,1,t,f,f
1041,154,25802,9,7,t,t,f
1047,92,97993,17,9,t,t,f
1050,3,1516,2,3,f,t,f
1054,15,2288,7,1,t,f,t
1060,38,3511,2,6,t,t,f
1063,24,7357,5,3,t,f,f
1070,27,694,5,8,t,t,t
1073,21,1147,3,0,t,t,t
1079,17,3519,5,5,t,t,f
1084,19,855,3,10,t,t,f
1093,23,2719,4,3,t,f,f
1095,16,2405,1,0,t,f,f
1096,8,907,2,0,t,t,f
1097,12,638,4,2,t,f,t
1104,192,20501,8,10,f,t,f
1108,7,198,1,3,t,f,f
1109,8,2079,2,3,t,t,f
1114,21,891,6,2,f,t,f
1115,5,715,2,0,t,t,f
1123,9,960,1,2,t,t,f
1126,11,257,1,1,t,f,f
1130,11,259,3,1,t,t,f
1133,6,2549,4,17,t,t,f
1145,8,2323,6,9,f,t,f
1151,-1,432,2,5,f,f,f
1154,12,3452,2,1,t,f,f
1156,5,1048,1,0,t,f,f
1159,16,17586,3,3,t,t,f
1163,7,1716,1,0,t,t,f
1164,1,136,1,0,t,f,f
1171,17,5509,5,3,t,f,f
1175,10,1531,3,5,t,t,f
1177,18,19941,3,6,t,f,f
1179,25,11227,5,2,t,t,f
1184,33,1611,6,5,t,t,f
1186,49,8105,9,8,t,t,t
1190,61,10114,7,10,t,t,f
1197,39,5980,4,7,t,t,f
1199,8,3587,3,4,t,f,f
1200,345,47833,13,22,t,t,f
1211,19,1686,4,1,t,t,f
1216,76,23016,10,10,t,t,f
1219,10,1543,1,1,t,f,f
1223,14,1568,1,1,f,f,f
1224,82,8595,12,8,t,t,t
1233,6,1053,1,0,t,f,f
1234,5,419,2,0,f,f,f
1237,40,557,8,3,t,t,t
1240,6,875,2,1,f,f,f
1246,4,1030,2,4,t,f,f
1249,23,1694,8,3,t,t,t
1259,8,298,2,1,t,t,f
1266,19,6927,5,2,t,f,f
1267,14,1674,6,4,t,t,f
1268,28,649,4,3,f,t,f
1276,6,558,3,5,f,f,f
1280,8,2805,3,7,t,t,f
1282,4,344,2,0,f,f,f
1285,2,687,2,3,t,f,f
1286,5,134,1,2,t,t,f
1288,31,16974,4,18,t,t,t
1297,13,3543,3,2,f,f,f
1301,24,3140,5,7,t,t,f
1306,5,823,1,2,t,t,f
1310,47,8333,7,7,t,t,f
1318,6,4700,3,3,t,f,f
1319,5,386,3,1,f,f,f
1324,6,882,4,5,t,f,f
1336,40,4755,3,2,t,f,f
1337,7,2138,2,2,f,f,f
1340,6,925,1,7,t,t,f
1341,3,433,1,5,t,f,f
1343,6,3568,1,11,t,f,f
1351,37,8164,3,15,f,t,f
1355,55,7119,6,0,t,t,t
1366,29,2710,3,2,t,t,f
1369,4,262,1,3,t,f,f
1379,12,1355,1,0,t,f,f
1384,26,430,2,0,t,f,f
1387,52,17810,3,6,t,t,f
1393,28,1726,2,6,f,t,f
1394,39,30504,5,7,t,t,f
1398,38,886,7,17,t,t,f
1403,23,287,4,6,t,t,f
1407,10,1411,4,4,t,t,f
1411,22,18351,3,7,t,t,f
1415,16,320,3,0,f,t,f
1426,7,2170,3,1,t,t,f
1438,2,248,3,3,t,f,f
1441,5,307,2,5,t,f,f
1444,12,1488,1,1,f,t,f
1449,55,1487,4,6,t,t,t
1450,21,980,2,3,t,f,f
1457,10,3813,2,3,t,t,f
1459,8,2227,1,2,f,f,f
1460,15,2732,1,3,t,t,f
1461,27,11548,4,5,t,t,f
1466,47,6481,3,6,t,t,f
1467,13,38171,3,5,t,t,f
1473,8,1422,4,1,t,t,f
1481,4,2384,3,3,t,t,f
1488,14,302,2,3,t,f,f
1493,37,4205,5,8,t,f,f
1498,28,9209,2,4,f,t,f
1503,4,525,1,4,t,t,f
1504,3,1203,2,0,t,t,f
1506,13,1692,2,3,f,f,f
1507,26,849,4,21,t,f,f
1510,14,6601,4,3,t,t,f
1512,14,1779,1,0,f,f,f
1513,41,1885,4,4,t,f,f
1514,39,23493,4,3,t,f,f
1515,21,4080,2,0,t,t,f
1533,8,1586,3,5,t,t,f
1535,17,5169,2,3,t,f,f
1539,7,397,2,2,t,t,f
1543,9,4309,3,4,t,f,f
1547,8,2011,3,5,f,f,f
1551,36,5509,2,0,t,t,f
1552,61,3223,5,9,t,t,f
1553,30,4265,3,1,t,t,f
1556,13,1463,6,4,f,t,f
1560,11,1597,2,6,t,t,f
1564,3,429,1,0,f,f,f
1566,4,339,1,2,f,f,f
1567,5,3135,4,3,t,t,t
1569,14,13786,3,3,t,f,f
1579,15,512,2,3,t,t,f
1583,4,1215,2,4,t,f,f
1584,3,140,1,3,t,f,f
1586,8,8621,2,2,t,t,f
1591,1,1258,1,6,t,t,f
1593,14,1643,2,4,t,f,f
1596,6,1047,3,7,t,t,f
1597,12,8015,2,5,t,t,f
1602,9,1668,3,8,t,f,f
1609,17,1059,4,6,t,f,t
1610,32,4020,2,7,t,f,f
1611,6,1404,2,1,f,f,f
1613,4,426,1,0,t,f,f
1614,3,503,2,6,f,f,f
1617,27,3723,4,7,t,t,f
1620,27,11241,4,5,t,f,f
1630,21,5450,5,6,t,t,f
1631,9,411,2,2,t,f,f
1636,8,930,1,2,t,f,f
1642,66,37100,3,6,t,f,f
1644,32,3170,2,6,t,t,f
1646,5,3848,2,6,t,t,f
1647,13,4095,2,1,t,f,f
1649,17,1778,9,9,t,t,f
1654,22,3575,2,6,t,t,f
1655,3,318,1,3,f,f,f
1660,42,3659,6,5,t,t,f
1662,39,2147,8,2,t,f,f
1666,25,12786,4,5,f,t,f
1668,2,563,1,2,f,f,f
1670,25,301,4,8,t,f,f
1680,4,110,1,0,t,t,f
1688,1,158,1,1,f,f,f
1691,21,8266,2,0,t,f,f
1692,15,1465,1,0,t,f,f
1694,17,8744,3,9,f,t,f
1697,26,11058,3,7,t,t,f
1700,4,1915,2,8,t,t,f
1705,1,1597,2,8,t,t,f
1707,10,538,2,1,t,f,f
1708,8,3929,1,1,t,f,f
1710,66,24775,7,9,t,t,f
1711,52,16760,4,2,t,t,f
1718,3,455,2,3,f,f,f
1721,55,12108,14,2,t,t,t
1727,19,683,1,1,f,t,f
1728,14,3137,1,0,t,f,f
1731,23,4096,1,0,f,f,f
1733,5,664,1,1,f,f,f
1734,1,269,3,4,t,f,f
1735,18,1573,1,0,f,t,f
1737,20,2605,2,5,t,f,f
1738,7,1512,2,2,t,f,f
1741,8,971,2,5,t,t,f
1743,4,1514,1,1,t,f,f
1744,29,341,3,0,f,t,f
1749,3,172,1,0,f,f,f
1754,24,3626,2,2,t,t,f
1755,28,7631,1,0,f,t,f
1757,5,994,1,1,f,f,f
1759,2,358,1,3,t,f,f
1760,7,2032,2,2,t,f,f
1761,7,658,1,0,t,f,f
1762,10,1176,3,5,t,t,f
1763,65,26165,5,8,t,t,t
1775,57,5389,11,10,f,t,f
1777,5,4739,3,0,f,f,f
1784,2,234,2,2,t,f,f
1792,5,5117,1,0,t,f,f
1795,4,3193,3,10,t,t,t
1800,5,2281,1,2,t,f,f
1802,3,208,3,4,t,f,f
1807,16,1982,2,2,t,f,f
1808,15,1485,2,8,f,t,f
1811,2,1138,2,1,t,t,f
1818,15,1415,2,1,f,t,f
1821,2,300,2,1,f,f,f
1823,15,1340,3,4,t,t,f
1825,27,19484,2,1,f,t,f
1832,2,322,2,5,t,t,f
1834,4,1502,1,2,t,t,f
1839,14,2432,2,3,t,t,f
1841,5,175,2,5,f,f,f
1842,7,872,4,7,t,f,f
1844,2,181,1,0,t,f,f
1846,8,968,1,0,f,f,f
1851,4,1287,2,4,t,f,f
1854,3,894,2,5,t,f,f
1855,3,230,1,1,t,f,f
1860,11,560,6,3,f,f,f
1864,3,438,1,4,t,f,f
1867,3,355,1,1,t,f,f
1870,8,5386,5,9,f,f,f
1875,9,3879,1,1,t,f,t
1879,12,1250,2,6,t,t,f
1880,17,10752,2,7,t,t,f
1885,12,5905,5,21,t,t,f
1886,20,4617,3,9,f,t,f
1890,2,6816,1,6,t,f,f
1892,16,3576,4,5,t,t,f
1900,7,1193,2,3,t,f,f
1902,11,1258,1,1,t,f,f
1903,19,1885,5,5,t,t,t
1905,9,505,1,1,t,f,f
1910,6,1126,2,4,t,t,f
1915,7,138,1,1,f,f,f
1917,9,2258,1,1,f,f,f
1919,4,2564,3,11,t,f,f
1920,18,8345,7,12,t,t,f
1925,8,2968,2,0,f,t,f
1928,8,810,1,0,f,f,f
1932,11,4028,3,0,t,t,f
1938,17,448,3,2,t,t,f
1939,13,1315,3,4,t,f,f
1940,3,404,2,3,t,f,f
1941,27,1556,2,10,t,t,f
1943,7,1195,1,0,t,f,f
1946,51,8704,4,2,t,t,f
1947,18,5552,1,1,t,f,f
1953,11,499,2,7,f,f,f
1958,46,3921,6,7,t,t,f
1963,8,986,1,7,t,f,f
1964,4,808,2,6,t,f,f
1965,100,2142,19,12,t,t,t
1982,12,1766,2,8,f,f,f
1983,22,8887,1,4,f,f,f
1987,102,15410,16,8,f,t,t
1997,23,486,5,3,f,f,f
2005,5,887,2,1,t,f,f
2006,26,7984,2,1,t,t,f
2008,10,3389,1,3,t,t,f
2011,13,4897,2,0,f,t,f
2013,12,3178,3,3,t,f,f
2019,22,2421,7,5,t,f,f
2026,7,625,1,2,f,t,f
2027,8,1280,1,4,f,t,f
